,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
8049,DM77491,Oregon,7416.466665,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Urban,Married,69,6,52,0,2,Personal Auto,Personal L1,Offer3,Call Center,238.057939,Four-Door Car,Medsize
2646,BG48083,Nevada,6386.278164,No,Extended,Bachelor,1/20/11,Employed,F,23751,Suburban,Single,82,4,9,1,7,Personal Auto,Personal L2,Offer1,Web,586.921708,Two-Door Car,Medsize
6299,FA39525,Oregon,4901.892602,No,Basic,High School or Below,1/25/11,Employed,M,72859,Rural,Divorced,61,6,5,0,9,Personal Auto,Personal L3,Offer3,Agent,49.961074,Two-Door Car,Medsize
8509,IX46908,California,5477.206072,No,Basic,College,2/28/11,Medical Leave,F,21289,Suburban,Married,71,15,98,0,3,Corporate Auto,Corporate L2,Offer2,Branch,340.8,Four-Door Car,Large
6711,XI84293,Oregon,1940.981221,No,Basic,High School or Below,7/2/2011,Unemployed,M,0,Suburban,Single,66,5,40,3,1,Personal Auto,Personal L3,Offer3,Call Center,475.2,Two-Door Car,Large
7829,PD97837,Arizona,2199.516645,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Suburban,Married,62,29,72,0,1,Corporate Auto,Corporate L1,Offer2,Web,297.6,Four-Door Car,Medsize
8945,UE75424,California,10732.50747,No,Extended,Doctor,2/22/11,Employed,M,75728,Rural,Married,133,24,68,0,4,Corporate Auto,Corporate L3,Offer1,Call Center,44.159065,SUV,Medsize
1409,PO90615,Arizona,2491.257604,Yes,Basic,High School or Below,12/2/2011,Medical Leave,F,25965,Suburban,Divorced,65,23,27,0,1,Personal Auto,Personal L2,Offer1,Agent,329.206567,Four-Door Car,Medsize
8267,ZZ22047,Washington,5548.031892,Yes,Basic,Bachelor,1/13/11,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Corporate Auto,Corporate L3,Offer1,Agent,331.2,Four-Door Car,Medsize
7726,XL49151,Arizona,2792.009458,No,Extended,College,2/26/11,Employed,M,22426,Suburban,Single,76,9,31,1,1,Corporate Auto,Corporate L3,Offer3,Branch,528.391284,Four-Door Car,Medsize
8567,WG93963,California,8575.961719,No,Extended,College,10/2/2011,Employed,F,39946,Suburban,Divorced,218,23,99,0,1,Personal Auto,Personal L1,Offer1,Branch,1046.4,Luxury SUV,Small
6664,RK63095,California,3122.984111,No,Extended,College,1/1/2011,Employed,M,72916,Suburban,Single,80,25,72,0,1,Personal Auto,Personal L3,Offer2,Web,384.0,Two-Door Car,Medsize
5225,AX45422,California,13786.70272,No,Basic,High School or Below,1/19/11,Unemployed,F,0,Suburban,Married,61,21,24,0,2,Personal Auto,Personal L2,Offer1,Call Center,370.755025,Four-Door Car,Medsize
5809,ED44765,Oregon,7367.653764,No,Basic,High School or Below,2/1/2011,Employed,F,25318,Suburban,Married,63,4,8,2,2,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,Small
4214,XI30683,Arizona,6729.867925,No,Basic,College,11/1/2011,Unemployed,M,0,Suburban,Single,103,13,20,0,9,Personal Auto,Personal L2,Offer1,Branch,741.6,SUV,Medsize
670,GP40701,California,8277.637562,No,Basic,Bachelor,2/14/11,Employed,F,79780,Suburban,Married,68,11,58,0,2,Personal Auto,Personal L2,Offer2,Web,326.4,Four-Door Car,Medsize
3361,AT62618,Oregon,6109.135438,No,Extended,Bachelor,11/2/2011,Unemployed,F,0,Suburban,Single,85,25,24,0,6,Personal Auto,Personal L2,Offer2,Web,612.0,Four-Door Car,Medsize
3739,QJ22615,Arizona,4881.299084,No,Basic,Master,2/21/11,Employed,F,37998,Suburban,Married,61,26,27,0,7,Special Auto,Special L3,Offer2,Call Center,292.8,Four-Door Car,Medsize
182,PD33979,Oregon,4892.435461,No,Basic,High School or Below,2/18/11,Employed,M,21709,Suburban,Married,62,28,17,0,3,Personal Auto,Personal L2,Offer2,Branch,408.374746,Four-Door Car,Large
1590,TQ32702,Nevada,6990.917824,No,Extended,College,1/27/11,Employed,F,22568,Suburban,Married,88,31,63,0,6,Corporate Auto,Corporate L2,Offer3,Branch,422.4,Four-Door Car,Medsize
3514,CV35709,Oregon,14024.35839,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10,55,0,2,Corporate Auto,Corporate L2,Offer2,Web,256.43803,Four-Door Car,Medsize
4777,PF88939,Nevada,7860.086842,No,Basic,Doctor,2/28/11,Disabled,M,21726,Suburban,Married,104,20,79,0,8,Personal Auto,Personal L2,Offer2,Branch,697.010998,SUV,Medsize
548,KF75098,Arizona,5129.738992,No,Basic,Bachelor,1/25/11,Employed,M,86148,Suburban,Married,65,19,51,2,4,Personal Auto,Personal L3,Offer4,Agent,312.0,Four-Door Car,Small
5695,ZZ43513,California,13110.54899,No,Basic,High School or Below,1/19/11,Employed,M,73597,Urban,Married,114,5,8,5,2,Personal Auto,Personal L2,Offer4,Agent,485.183645,SUV,Medsize
5936,PV26437,California,7319.575712,No,Basic,Bachelor,12/1/2011,Employed,F,57777,Urban,Married,61,21,11,1,2,Corporate Auto,Corporate L3,Offer1,Agent,273.879927,Four-Door Car,Medsize
4388,XZ62712,Washington,44468.02303,No,Extended,High School or Below,1/29/11,Employed,F,32948,Suburban,Single,127,20,46,1,2,Personal Auto,Personal L2,Offer1,Call Center,1428.972913,SUV,Medsize
7164,MV86976,California,3482.038245,No,Extended,High School or Below,3/1/2011,Unemployed,M,0,Suburban,Single,96,31,85,0,1,Personal Auto,Personal L2,Offer1,Agent,726.132858,Four-Door Car,Medsize
8026,AT98182,California,2525.419695,No,Basic,Doctor,1/18/11,Unemployed,F,0,Rural,Married,67,9,37,0,1,Corporate Auto,Corporate L3,Offer4,Agent,146.301396,Four-Door Car,Large
3231,UL90124,Oregon,5038.979968,No,Extended,High School or Below,2/21/11,Employed,F,72919,Suburban,Married,130,20,22,5,1,Personal Auto,Personal L3,Offer4,Agent,936.0,SUV,Small
328,QW87316,Oregon,2650.622781,No,Basic,College,1/20/11,Employed,F,39035,Urban,Divorced,68,15,65,0,1,Personal Auto,Personal L2,Offer2,Agent,244.564334,Four-Door Car,Medsize
746,GI68556,California,15147.93055,No,Basic,Bachelor,2/16/11,Employed,F,41082,Rural,Married,63,23,94,0,2,Personal Auto,Personal L2,Offer3,Web,106.647493,Two-Door Car,Medsize
7901,EO95783,Arizona,26763.82631,No,Basic,High School or Below,1/22/11,Employed,M,84178,Rural,Divorced,74,34,80,0,2,Personal Auto,Personal L3,Offer2,Call Center,12.588784,Two-Door Car,Medsize
3353,YU21725,Washington,4903.152748,No,Basic,High School or Below,3/1/2011,Unemployed,F,0,Suburban,Single,66,22,1,1,3,Corporate Auto,Corporate L3,Offer1,Agent,475.2,Four-Door Car,Medsize
6824,XB61209,Arizona,3508.92537,No,Extended,College,6/1/2011,Unemployed,F,0,Suburban,Single,97,19,18,0,1,Personal Auto,Personal L3,Offer1,Agent,698.4,Four-Door Car,Small
4048,CP66511,Oregon,2562.604728,No,Basic,High School or Below,10/2/2011,Employed,M,92038,Urban,Married,65,4,44,2,1,Personal Auto,Personal L3,Offer2,Agent,178.408186,Two-Door Car,Small
5054,NK26146,Washington,7072.928971,No,Basic,College,11/2/2011,Employed,F,90551,Suburban,Divorced,61,28,4,4,2,Corporate Auto,Corporate L3,Offer4,Call Center,374.527412,Four-Door Car,Small
7262,VK98618,Arizona,7751.855026,No,Basic,College,2/13/11,Unemployed,F,0,Suburban,Single,105,14,21,0,7,Personal Auto,Personal L3,Offer2,Agent,756.0,SUV,Large
6064,NT79981,Nevada,3605.974564,No,Extended,High School or Below,6/1/2011,Disabled,F,13199,Suburban,Divorced,93,23,22,0,1,Personal Auto,Personal L3,Offer2,Agent,582.462008,Four-Door Car,Medsize
7405,GW43195,Oregon,25807.063,Yes,Extended,College,2/13/11,Employed,F,71210,Suburban,Married,214,8,89,1,2,Personal Auto,Personal L2,Offer1,Branch,1027.2,Luxury Car,Small
3832,DZ35379,Arizona,5781.015999,No,Basic,High School or Below,1/27/11,Employed,F,69512,Urban,Married,72,3,62,0,5,Personal Auto,Personal L2,Offer2,Branch,196.977247,Two-Door Car,Medsize
7806,GD29440,Washington,2538.62632,Yes,Basic,Bachelor,2/17/11,Retired,M,18608,Suburban,Divorced,71,13,24,0,1,Personal Auto,Personal L3,Offer2,Web,340.8,Four-Door Car,Medsize
2575,BE55425,Oregon,6403.577368,No,Extended,College,1/31/11,Employed,M,28095,Suburban,Married,82,18,2,0,8,Personal Auto,Personal L3,Offer3,Web,393.6,Four-Door Car,Medsize
3007,NI99807,Oregon,13869.92705,Yes,Basic,College,1/21/11,Employed,M,28432,Suburban,Married,118,1,59,0,2,Personal Auto,Personal L2,Offer2,Branch,612.300581,SUV,Small
6350,OG36837,Arizona,7648.25947,No,Extended,Doctor,1/22/11,Employed,F,91071,Urban,Married,94,21,25,2,3,Personal Auto,Personal L1,Offer2,Call Center,402.74168,Four-Door Car,Medsize
6758,AQ91207,California,2487.649473,No,Basic,High School or Below,11/2/2011,Employed,M,38667,Urban,Married,63,9,21,0,1,Personal Auto,Personal L3,Offer2,Branch,293.070538,Four-Door Car,Medsize
8307,FR12423,Oregon,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize
1411,MX50302,Oregon,2619.337376,Yes,Basic,Bachelor,5/2/2011,Employed,M,78618,Urban,Divorced,66,7,56,0,1,Special Auto,Special L3,Offer1,Agent,225.578841,Two-Door Car,Medsize
7696,VO94890,Oregon,5935.572179,No,Basic,College,4/1/2011,Employed,M,90263,Suburban,Married,74,17,36,0,8,Personal Auto,Personal L1,Offer4,Web,355.2,Two-Door Car,Medsize
6493,ZP64637,Arizona,3857.770745,No,Basic,High School or Below,1/29/11,Unemployed,M,0,Suburban,Single,110,20,62,0,1,Corporate Auto,Corporate L3,Offer1,Web,792.0,Sports Car,Medsize
587,FS55302,California,2389.980951,No,Basic,Bachelor,2/17/11,Employed,M,27615,Suburban,Married,62,19,18,1,1,Personal Auto,Personal L3,Offer3,Call Center,297.6,Four-Door Car,Medsize
6520,HQ60388,Oregon,8625.836992,No,Basic,High School or Below,1/21/11,Employed,F,50446,Suburban,Married,74,28,50,4,2,Personal Auto,Personal L1,Offer4,Web,355.2,Four-Door Car,Medsize
3808,ZN27809,Oregon,8083.541953,No,Basic,College,1/13/11,Unemployed,F,0,Suburban,Single,116,7,23,0,8,Personal Auto,Personal L3,Offer1,Web,820.018767,SUV,Medsize
8952,WI89701,California,5705.899103,No,Basic,College,11/1/2011,Unemployed,F,0,Suburban,Married,74,2,34,0,9,Personal Auto,Personal L3,Offer1,Branch,432.4081,Two-Door Car,Medsize
1608,BP83941,Arizona,8396.327608,No,Basic,Master,2/21/11,Unemployed,F,0,Suburban,Married,115,18,80,1,3,Personal Auto,Personal L2,Offer3,Web,552.0,SUV,Medsize
7205,LV94312,Oregon,4931.503095,No,Basic,College,2/14/11,Employed,M,33580,Suburban,Married,62,17,77,0,3,Corporate Auto,Corporate L3,Offer1,Agent,315.326222,Four-Door Car,Medsize
3645,DG21323,California,4758.564558,No,Basic,High School or Below,2/13/11,Unemployed,F,0,Suburban,Single,64,29,36,0,9,Personal Auto,Personal L3,Offer3,Branch,607.733606,Four-Door Car,Medsize
4591,LO57469,Oregon,7865.182898,No,Extended,High School or Below,1/23/11,Employed,F,75490,Rural,Married,97,33,20,0,7,Corporate Auto,Corporate L3,Offer2,Agent,43.084332,Four-Door Car,Medsize
4704,LS99940,California,3353.381136,No,Extended,Master,1/30/11,Employed,F,63398,Urban,Married,83,29,46,0,1,Personal Auto,Personal L2,Offer2,Web,292.206784,Four-Door Car,Medsize
5737,GX47381,California,9657.579498,Yes,Extended,High School or Below,1/31/11,Unemployed,M,0,Suburban,Married,131,34,61,0,9,Corporate Auto,Corporate L3,Offer1,Agent,628.8,SUV,Medsize
8075,VE85103,Nevada,2449.128459,No,Basic,College,8/1/2011,Medical Leave,M,20567,Suburban,Married,72,24,76,4,1,Personal Auto,Personal L2,Offer4,Agent,345.6,Four-Door Car,Large
15,BW63560,Oregon,7463.139377,No,Basic,Bachelor,1/17/11,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,Medsize
8663,EN31802,California,36168.34106,No,Basic,High School or Below,9/1/2011,Employed,M,74140,Suburban,Married,101,31,23,2,2,Personal Auto,Personal L1,Offer2,Web,484.8,SUV,Medsize
8362,MW98508,Oregon,2889.087654,No,Basic,College,2/13/11,Employed,F,72075,Rural,Married,73,32,1,2,1,Special Auto,Special L3,Offer2,Web,22.569825,Four-Door Car,Medsize
1159,VM84548,Washington,8819.018934,Yes,Basic,High School or Below,10/1/2011,Employed,M,99845,Suburban,Married,110,23,25,1,8,Personal Auto,Personal L2,Offer2,Branch,528.0,SUV,Medsize
1109,DT77901,Oregon,10179.71704,Yes,Premium,Bachelor,5/1/2011,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize
7841,MV19629,Oregon,7716.997859,No,Extended,College,1/21/11,Employed,F,37376,Rural,Single,99,34,52,0,3,Personal Auto,Personal L3,Offer1,Branch,65.548725,Four-Door Car,Medsize
7090,OX53879,Arizona,5113.899098,No,Basic,Bachelor,2/25/11,Employed,M,92427,Rural,Married,64,2,48,2,3,Personal Auto,Personal L3,Offer1,Call Center,126.049033,Four-Door Car,Large
8138,BP35803,California,3425.73115,No,Extended,College,1/17/11,Employed,F,29194,Urban,Single,89,28,31,0,1,Personal Auto,Personal L3,Offer2,Agent,424.466821,Four-Door Car,Medsize
620,YD74948,Oregon,2472.469209,Yes,Basic,College,1/20/11,Employed,F,63860,Urban,Married,62,26,81,0,1,Personal Auto,Personal L3,Offer2,Agent,208.598246,Four-Door Car,Medsize
665,DN29808,California,2846.24535,No,Basic,College,3/2/2011,Employed,F,28919,Suburban,Married,72,18,11,0,1,Corporate Auto,Corporate L3,Offer2,Agent,518.4,Four-Door Car,Medsize
4866,LO15516,California,2691.70088,No,Basic,Bachelor,1/1/2011,Employed,M,34322,Suburban,Married,70,20,46,2,1,Corporate Auto,Corporate L2,Offer2,Agent,336.0,Four-Door Car,Medsize
8396,QJ49871,Oregon,3893.305281,No,Basic,College,1/21/11,Employed,M,26605,Suburban,Married,100,33,13,0,1,Personal Auto,Personal L1,Offer3,Call Center,933.330936,SUV,Medsize
7636,EB34435,Arizona,2996.139865,No,Extended,High School or Below,1/22/11,Unemployed,M,0,Suburban,Single,82,9,21,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,590.4,Four-Door Car,Large
5023,HY43263,California,8265.379176,No,Extended,Bachelor,7/2/2011,Unemployed,F,0,Suburban,Single,77,17,41,0,2,Corporate Auto,Corporate L3,Offer2,Agent,554.4,Two-Door Car,Small
4021,LN28900,California,14687.07959,No,Extended,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,85,3,61,0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small
4611,VA91846,Arizona,5577.54128,No,Basic,College,9/1/2011,Employed,M,97868,Urban,Married,70,5,22,1,3,Special Auto,Special L2,Offer3,Branch,267.786573,Two-Door Car,Large
8460,OH41318,Washington,26122.12998,No,Extended,Master,7/1/2011,Employed,M,83385,Suburban,Divorced,131,26,77,2,2,Personal Auto,Personal L3,Offer3,Web,704.337157,SUV,Medsize
4255,XX34879,Oregon,14718.11779,No,Extended,College,2/26/11,Employed,M,56263,Suburban,Married,93,27,31,0,2,Corporate Auto,Corporate L3,Offer2,Agent,446.4,Four-Door Car,Medsize
2758,TH70115,California,6981.081694,No,Extended,College,1/20/11,Employed,M,34835,Urban,Married,89,1,45,2,9,Personal Auto,Personal L3,Offer1,Agent,294.691896,Two-Door Car,Medsize
106,MR52087,California,7694.064293,No,Basic,Bachelor,4/1/2011,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize
4723,QT61438,Oregon,6519.287872,No,Extended,Master,1/28/11,Employed,M,38795,Suburban,Married,82,30,41,1,3,Corporate Auto,Corporate L3,Offer1,Branch,393.6,Two-Door Car,Small
4673,VA77345,Oregon,3531.039178,No,Extended,College,2/25/11,Employed,F,26884,Urban,Married,89,11,84,0,1,Special Auto,Special L2,Offer4,Call Center,238.132215,Four-Door Car,Medsize
588,TN79487,California,4458.113369,Yes,Basic,Bachelor,2/1/2011,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L3,Offer1,Agent,312.0,Four-Door Car,Medsize
5191,ZU30804,California,5498.940679,Yes,Basic,College,5/2/2011,Medical Leave,M,22520,Suburban,Married,73,17,64,0,3,Personal Auto,Personal L3,Offer1,Branch,350.4,Four-Door Car,Medsize
1468,BD77090,Washington,8609.158215,Yes,Basic,Bachelor,1/14/11,Employed,F,79090,Urban,Married,107,2,74,0,3,Personal Auto,Personal L1,Offer2,Branch,289.040734,SUV,Medsize
6736,FU77365,California,9246.223462,No,Basic,Bachelor,2/14/11,Employed,F,40032,Suburban,Married,118,1,50,2,7,Personal Auto,Personal L3,Offer1,Web,717.763724,SUV,Medsize
3467,YD22081,Arizona,9701.027271,No,Extended,College,1/13/11,Employed,F,45668,Urban,Married,80,7,55,0,2,Personal Auto,Personal L3,Offer2,Branch,344.767795,Four-Door Car,Medsize
2403,PU78245,Arizona,13094.60875,No,Basic,Bachelor,1/16/11,Employed,F,88249,Rural,Single,108,9,71,0,2,Personal Auto,Personal L3,Offer1,Agent,244.803741,SUV,Large
90,JY67916,Oregon,13171.01282,No,Premium,College,1/27/11,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small
1528,EC44438,Nevada,2467.620791,No,Basic,Bachelor,2/1/2011,Medical Leave,F,19352,Suburban,Married,65,16,0,0,1,Personal Auto,Personal L3,Offer1,Branch,724.463534,Four-Door Car,Small
5965,RV52244,Arizona,2498.35063,No,Basic,Bachelor,2/20/11,Employed,F,31357,Rural,Married,63,2,88,0,1,Personal Auto,Personal L3,Offer2,Branch,2.016239,Four-Door Car,Medsize
8291,VG68427,Arizona,5608.155723,No,Basic,High School or Below,2/17/11,Employed,M,81914,Urban,Married,70,6,33,0,6,Corporate Auto,Corporate L2,Offer4,Branch,198.75466,Four-Door Car,Medsize
6387,ZS73935,Washington,23435.72605,No,Basic,High School or Below,1/16/11,Employed,F,42862,Urban,Married,65,34,29,0,2,Personal Auto,Personal L3,Offer3,Agent,254.223496,Four-Door Car,Medsize
7458,NE29938,California,12840.43291,No,Extended,College,3/2/2011,Unemployed,F,0,Suburban,Single,90,1,94,0,2,Personal Auto,Personal L2,Offer1,Call Center,648.0,Two-Door Car,Large
2937,TO55363,Oregon,13367.86562,No,Basic,High School or Below,1/28/11,Employed,F,57335,Suburban,Married,67,22,18,0,2,Personal Auto,Personal L1,Offer4,Agent,407.887715,Two-Door Car,Medsize
1463,OD18225,California,6631.665538,No,Extended,College,1/18/11,Employed,M,32918,Suburban,Married,84,33,69,0,3,Personal Auto,Personal L2,Offer3,Agent,403.2,Four-Door Car,Medsize
3068,LR27773,California,5329.075482,No,Basic,Bachelor,2/21/11,Employed,F,43671,Urban,Married,67,6,67,0,3,Corporate Auto,Corporate L2,Offer3,Agent,190.649902,Four-Door Car,Medsize
7561,FG96614,California,11302.60169,No,Extended,Doctor,10/1/2011,Employed,F,22361,Suburban,Married,95,15,42,0,2,Personal Auto,Personal L3,Offer4,Agent,530.667993,Four-Door Car,Small
7005,LU86185,California,9031.214859,Yes,Extended,Master,2/23/11,Unemployed,F,0,Suburban,Single,122,15,47,0,9,Corporate Auto,Corporate L2,Offer1,Branch,650.52179,Sports Car,Medsize
6863,TW46585,Nevada,4767.687852,No,Basic,Bachelor,1/28/11,Unemployed,M,0,Suburban,Single,72,2,12,0,9,Corporate Auto,Corporate L1,Offer3,Call Center,345.6,Four-Door Car,Medsize
8235,LR69185,Nevada,5739.823806,No,Extended,College,1/14/11,Unemployed,M,0,Suburban,Single,80,27,88,0,3,Personal Auto,Personal L2,Offer2,Agent,848.201438,Four-Door Car,Medsize
2159,HJ19927,Nevada,5297.625945,No,Basic,Master,2/16/11,Medical Leave,M,14775,Rural,Married,69,11,44,0,5,Personal Auto,Personal L3,Offer3,Agent,170.939409,Four-Door Car,Medsize
3386,SO18542,Oregon,8370.56545,No,Basic,Bachelor,1/28/11,Employed,F,33409,Suburban,Married,105,4,17,0,7,Personal Auto,Personal L3,Offer1,Agent,553.553427,SUV,Medsize
4590,JZ54775,Arizona,7431.664369,No,Extended,Bachelor,1/15/11,Employed,F,27688,Suburban,Married,92,8,86,0,9,Personal Auto,Personal L3,Offer1,Agent,572.352362,Four-Door Car,Small
3537,EH86912,California,8420.43119,No,Basic,College,2/27/11,Disabled,M,28617,Suburban,Married,112,20,57,0,9,Personal Auto,Personal L2,Offer3,Agent,797.595611,SUV,Medsize
8813,AK59340,California,5601.138061,No,Basic,High School or Below,5/1/2011,Employed,M,42360,Rural,Single,71,29,62,0,8,Corporate Auto,Corporate L3,Offer1,Branch,99.509191,Four-Door Car,Medsize
8253,BC90645,California,2675.029491,No,Basic,Master,1/2/2011,Employed,F,55479,Rural,Single,68,5,7,1,1,Personal Auto,Personal L2,Offer2,Branch,117.964245,Four-Door Car,Medsize
5506,AI11191,Arizona,4228.248035,No,Basic,High School or Below,2/24/11,Employed,F,77853,Rural,Single,106,12,76,0,1,Personal Auto,Personal L2,Offer1,Branch,165.237444,SUV,Medsize
475,NS10490,Oregon,14158.61364,No,Basic,Bachelor,2/26/11,Employed,F,83235,Suburban,Married,70,16,33,0,2,Personal Auto,Personal L3,Offer2,Agent,336.0,Two-Door Car,Medsize
8215,JD15492,Oregon,2446.681538,No,Basic,High School or Below,4/1/2011,Employed,F,44509,Urban,Married,61,8,68,0,1,Personal Auto,Personal L2,Offer3,Call Center,226.731454,Four-Door Car,Medsize
6080,UJ70796,Oregon,7413.422501,No,Basic,College,1/28/11,Employed,F,52130,Rural,Married,62,17,54,0,2,Personal Auto,Personal L3,Offer2,Branch,124.463095,Four-Door Car,Medsize
1295,ZD63451,California,2503.660407,No,Basic,Bachelor,11/1/2011,Employed,M,53338,Rural,Married,63,24,35,1,1,Personal Auto,Personal L2,Offer4,Agent,35.45384,Four-Door Car,Medsize
1280,AY84441,Oregon,4002.857594,No,Basic,High School or Below,1/31/11,Unemployed,M,0,Suburban,Single,114,3,93,0,1,Personal Auto,Personal L2,Offer3,Call Center,820.8,SUV,Medsize
8335,NV13794,Nevada,9549.113813,No,Basic,High School or Below,9/2/2011,Employed,F,55986,Urban,Married,119,3,60,0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small
7551,GQ11852,Oregon,13306.18451,No,Premium,College,5/1/2011,Employed,F,39017,Urban,Married,170,10,4,2,3,Personal Auto,Personal L3,Offer1,Call Center,592.85751,SUV,Medsize
5273,MA94219,Nevada,9067.658438,No,Premium,College,5/1/2011,Employed,M,78250,Suburban,Married,114,7,66,0,6,Personal Auto,Personal L3,Offer2,Branch,547.2,Four-Door Car,Medsize
1665,ZK61113,Oregon,6291.589959,No,Extended,High School or Below,1/22/11,Unemployed,M,0,Suburban,Single,94,2,61,0,6,Personal Auto,Personal L2,Offer3,Agent,676.8,Two-Door Car,Medsize
1597,UM76485,Oregon,7027.759594,No,Basic,College,1/28/11,Unemployed,M,0,Suburban,Single,102,11,90,0,5,Personal Auto,Personal L2,Offer2,Agent,489.6,SUV,Medsize
7092,CP27565,Oregon,12036.62051,Yes,Basic,Bachelor,10/2/2011,Employed,M,44428,Suburban,Single,104,17,61,0,2,Special Auto,Special L3,Offer1,Call Center,499.2,SUV,Medsize
7001,LT57545,California,5575.198201,No,Basic,College,1/21/11,Medical Leave,F,18892,Rural,Married,73,33,76,0,5,Personal Auto,Personal L2,Offer1,Web,106.814987,Four-Door Car,Medsize
854,TY26512,California,3436.134281,Yes,Extended,Doctor,2/18/11,Employed,M,30817,Rural,Divorced,88,25,43,0,1,Personal Auto,Personal L3,Offer2,Branch,91.834668,Four-Door Car,Medsize
7043,QX54666,California,11172.49931,No,Basic,High School or Below,1/19/11,Disabled,M,14533,Suburban,Single,63,4,20,0,2,Personal Auto,Personal L3,Offer1,Branch,302.4,Four-Door Car,Medsize
6155,IC61020,Oregon,7437.514997,No,Basic,High School or Below,2/23/11,Employed,F,88360,Suburban,Divorced,185,2,73,0,1,Personal Auto,Personal L2,Offer1,Call Center,929.958895,Luxury Car,Large
2824,IL67915,Arizona,8542.218196,No,Premium,College,12/2/2011,Employed,F,50117,Urban,Single,107,13,98,0,4,Corporate Auto,Corporate L2,Offer1,Branch,462.654347,Four-Door Car,Medsize
4437,KA62636,Oregon,4928.001408,No,Basic,High School or Below,1/26/11,Employed,M,97917,Urban,Single,67,14,32,5,3,Personal Auto,Personal L2,Offer4,Agent,279.184512,Two-Door Car,Medsize
4496,BQ99053,Oregon,7692.456014,No,Premium,College,2/19/11,Unemployed,M,0,Suburban,Married,105,1,37,0,4,Personal Auto,Personal L1,Offer4,Web,504.0,Four-Door Car,Medsize
6955,TT19625,Nevada,15277.47796,No,Basic,Bachelor,5/1/2011,Employed,F,38183,Suburban,Married,191,21,14,0,8,Personal Auto,Personal L3,Offer1,Branch,981.010879,Luxury Car,Medsize
3884,OQ99704,Washington,3981.775889,No,Basic,Bachelor,11/2/2011,Employed,F,52801,Urban,Married,100,21,78,0,1,Personal Auto,Personal L3,Offer2,Branch,475.20088,SUV,Small
2900,MD17521,Oregon,10298.38586,No,Extended,High School or Below,1/31/11,Employed,M,64825,Urban,Married,129,1,78,0,4,Personal Auto,Personal L3,Offer2,Web,359.484342,SUV,Medsize
5267,ZT52415,Oregon,8145.985919,No,Basic,Bachelor,1/1/2011,Employed,F,62534,Suburban,Married,68,10,1,0,2,Personal Auto,Personal L1,Offer2,Branch,326.4,Two-Door Car,Medsize
7879,YF73402,Oregon,2566.398498,No,Basic,High School or Below,2/20/11,Employed,M,67778,Urban,Married,64,17,17,1,1,Personal Auto,Personal L3,Offer2,Agent,171.287759,Four-Door Car,Large
6160,LR49580,Oregon,5061.180855,No,Basic,Bachelor,2/14/11,Employed,F,59216,Urban,Married,64,0,66,2,7,Personal Auto,Personal L3,Offer2,Branch,200.493214,Four-Door Car,Large
2518,MI65698,Oregon,4590.811214,No,Premium,College,1/2/2011,Employed,F,28354,Urban,Divorced,118,33,20,0,1,Personal Auto,Personal L3,Offer2,Agent,320.327775,Two-Door Car,Large
6649,RH96816,Arizona,2937.165583,No,Extended,Bachelor,2/2/2011,Unemployed,F,0,Suburban,Divorced,81,16,69,0,1,Personal Auto,Personal L2,Offer1,Call Center,388.8,Two-Door Car,Medsize
4303,KR35099,Washington,7507.455372,Yes,Basic,College,6/2/2011,Employed,M,60920,Urban,Single,64,10,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize
2161,EL81968,Oregon,7661.388132,No,Extended,Bachelor,2/15/11,Employed,M,66726,Urban,Married,97,3,60,1,7,Personal Auto,Personal L2,Offer2,Call Center,335.840529,Two-Door Car,Medsize
